,당신의 성별은 무엇입니까?,당신의 연령대는 어떻게 되십니까?,자전거를 얼마나 보유하고 계십니까?,어떤 자전거를 보유하고 계십니까?,주로 타는 자전거는 어떤 종류입니까?,주로 어떤 목적으로 자전거를 이용하십니까?,일주일에 얼마나 라이딩을 하십니까?,한 번에 얼마나 라이딩을 하십니까?,"자전거를 구입하신다면, 어떤 자전거를 구입할 계획이십니까?",어떤 목적으로 자전거를 구입할 계획이십니까?
,남성,30대,1대,로드,로드,레저,주 1~2회,1~2시간,그래블,레저
,남성,30대,2대,"로드, 미니벨로",로드,레저,주 1~2회,1~2시간,구입x,구입x
,남성,30대,보유하고 있지 않다,,,,,,로드,레저
,남성,30대,2대,"생활 자전거, MTB","생활 자전거, MTB",출퇴근(이동 수단),주 3~4회,3~4시간,생활 자전거,로드 멘붕
,남성,40대,보유하고 있지 않다,,,,,,MTB,레저
,남성,50대,1대,MTB,MTB,레저,주 1~2회,3~4시간,MTB,레저
,남성,40대,2대,"로드, MTB",로드,레저,주 3~4회,3~4시간,로드,레저
,남성,30대,2대,로드,로드,출퇴근(이동 수단),주 3~4회,1시간 미만,로드,레저
,남성,20대,2대,"MTB, 하이브리드",MTB,출퇴근(이동 수단),주 1~2회,1~2시간,MTB,여행
,남성,40대,1대,하이브리드,하이브리드,출퇴근(이동 수단),주 3~4회,1시간 미만,MTB,레저
,남성,20대,1대,로드,로드,레저,주 1~2회,3~4시간,로드,레저
,남성,30대,2대,"로드, 픽시","로드, 픽시",레저,주 3~4회,1~2시간,,
,남성,50대,1대,MTB,MTB,레저,주 3~4회,4시간 이상,MTB,여행
,남성,20대,1대,MTB,MTB,레저,주 1~2회,1~2시간,로드,레저
,남성,40대,1대,하이브리드,하이브리드,레저,주 1~2회,4시간 이상,전기자전거,레저
,남성,40대,2대,"로드, 미니벨로",로드,레저,주 1~2회,4시간 이상,로드,레저
,남성,50대,1대,MTB,MTB,레저,주 1~2회,3~4시간,MTB,레저
,남성,50대,1대,MTB,MTB,운동,주 3~4회,1~2시간,로드,운동겸여행
,여성,30대,1대,로드,생활 자전거,레저,주 1~2회,1시간 미만,하이브리드,여행
,남성,20대,1대,로드,로드,레저,주 3~4회,3~4시간,로드,레저
,남성,30대,1대,로드,로드,레저,주 1~2회,3~4시간,미니벨로,여행
,남성,30대,1대,로드,로드,레저,매일,4시간 이상,로드,레저
,남성,30대,2대,"로드, 미니벨로",미니벨로,출퇴근(이동 수단),매일,1시간 미만,하이브리드,출퇴근(이동 수단)
,남성,20대,1대,로드,로드,레저,주 1~2회,1~2시간,로드,레저
,남성,50대,1대,로드,로드,레저,주 1~2회,3~4시간,로드,레저
